date,institution,modality,value
2024-01-01,Bank_Alpha,Spot,125000
2024-01-01,Bank_Alpha,Forward,89000
2024-01-01,Bank_Alpha,Swap,156000
2024-01-01,Bank_Alpha,Options,42000
2024-01-01,Bank_Beta,Spot,98000
2024-01-01,Bank_Beta,Forward,67000
2024-01-01,Bank_Beta,Swap,134000
2024-01-01,Bank_Beta,Options,28000
2024-01-01,Bank_Gamma,Spot,156000
2024-01-01,Bank_Gamma,Forward,112000
2024-01-01,Bank_Gamma,Swap,189000
2024-01-01,Bank_Gamma,Options,56000
2024-02-01,Bank_Alpha,Spot,132000
2024-02-01,Bank_Alpha,Forward,94000
2024-02-01,Bank_Alpha,Swap,162000
2024-02-01,Bank_Alpha,Options,45000
2024-02-01,Bank_Beta,Spot,103000
2024-02-01,Bank_Beta,Forward,71000
2024-02-01,Bank_Beta,Swap,141000
2024-02-01,Bank_Beta,Options,31000
2024-02-01,Bank_Gamma,Spot,164000
2024-02-01,Bank_Gamma,Forward,118000
2024-02-01,Bank_Gamma,Swap,198000
2024-02-01,Bank_Gamma,Options,59000
2024-03-01,Bank_Alpha,Spot,128000
2024-03-01,Bank_Alpha,Forward,91000
2024-03-01,Bank_Alpha,Swap,159000
2024-03-01,Bank_Alpha,Options,43000
2024-03-01,Bank_Beta,Spot,101000
2024-03-01,Bank_Beta,Forward,69000
2024-03-01,Bank_Beta,Swap,138000
2024-03-01,Bank_Beta,Options,29000
2024-03-01,Bank_Gamma,Spot,161000
2024-03-01,Bank_Gamma,Forward,115000
2024-03-01,Bank_Gamma,Swap,194000
2024-03-01,Bank_Gamma,Options,58000
2024-04-01,Bank_Alpha,Spot,135000
2024-04-01,Bank_Alpha,Forward,96000
2024-04-01,Bank_Alpha,Swap,167000
2024-04-01,Bank_Alpha,Options,47000
2024-04-01,Bank_Beta,Spot,107000
2024-04-01,Bank_Beta,Forward,74000
2024-04-01,Bank_Beta,Swap,146000
2024-04-01,Bank_Beta,Options,33000
2024-04-01,Bank_Gamma,Spot,169000
2024-04-01,Bank_Gamma,Forward,121000
2024-04-01,Bank_Gamma,Swap,203000
2024-04-01,Bank_Gamma,Options,61000
2024-05-01,Bank_Alpha,Spot,140000
2024-05-01,Bank_Alpha,Forward,99000
2024-05-01,Bank_Alpha,Swap,172000
2024-05-01,Bank_Alpha,Options,49000
2024-05-01,Bank_Beta,Spot,111000
2024-05-01,Bank_Beta,Forward,77000
2024-05-01,Bank_Beta,Swap,151000
2024-05-01,Bank_Beta,Options,35000
2024-05-01,Bank_Gamma,Spot,175000
2024-05-01,Bank_Gamma,Forward,125000
2024-05-01,Bank_Gamma,Swap,209000
2024-05-01,Bank_Gamma,Options,64000
2024-06-01,Bank_Alpha,Spot,138000
2024-06-01,Bank_Alpha,Forward,97000
2024-06-01,Bank_Alpha,Swap,170000
2024-06-01,Bank_Alpha,Options,48000
2024-06-01,Bank_Beta,Spot,109000
2024-06-01,Bank_Beta,Forward,76000
2024-06-01,Bank_Beta,Swap,149000
2024-06-01,Bank_Beta,Options,34000
2024-06-01,Bank_Gamma,Spot,172000
2024-06-01,Bank_Gamma,Forward,123000
2024-06-01,Bank_Gamma,Swap,206000
2024-06-01,Bank_Gamma,Options,63000
2024-07-01,Bank_Alpha,Spot,145000
2024-07-01,Bank_Alpha,Forward,102000
2024-07-01,Bank_Alpha,Swap,177000
2024-07-01,Bank_Alpha,Options,51000
2024-07-01,Bank_Beta,Spot,115000
2024-07-01,Bank_Beta,Forward,80000
2024-07-01,Bank_Beta,Swap,156000
2024-07-01,Bank_Beta,Options,37000
2024-07-01,Bank_Gamma,Spot,181000
2024-07-01,Bank_Gamma,Forward,129000
2024-07-01,Bank_Gamma,Swap,215000
2024-07-01,Bank_Gamma,Options,67000
2024-08-01,Bank_Alpha,Spot,142000
2024-08-01,Bank_Alpha,Forward,100000
2024-08-01,Bank_Alpha,Swap,174000
2024-08-01,Bank_Alpha,Options,50000
2024-08-01,Bank_Beta,Spot,113000
2024-08-01,Bank_Beta,Forward,78000
2024-08-01,Bank_Beta,Swap,153000
2024-08-01,Bank_Beta,Options,36000
2024-08-01,Bank_Gamma,Spot,178000
2024-08-01,Bank_Gamma,Forward,127000
2024-08-01,Bank_Gamma,Swap,212000
2024-08-01,Bank_Gamma,Options,65000
2024-09-01,Bank_Alpha,Spot,150000
2024-09-01,Bank_Alpha,Forward,105000
2024-09-01,Bank_Alpha,Swap,182000
2024-09-01,Bank_Alpha,Options,53000
2024-09-01,Bank_Beta,Spot,119000
2024-09-01,Bank_Beta,Forward,83000
2024-09-01,Bank_Beta,Swap,161000
2024-09-01,Bank_Beta,Options,39000
2024-09-01,Bank_Gamma,Spot,187000
2024-09-01,Bank_Gamma,Forward,133000
2024-09-01,Bank_Gamma,Swap,221000
2024-09-01,Bank_Gamma,Options,69000

